cluster_kmeans,active_rate,avg_gap_hours,longest_zero_streak_hours,mean_hourly_load,median_hourly_load,p95_load,load_factor,cv,rolling_std_mean_ratio,ramp_volatility,acf_1,acf_24,acf_168,pacf_1,pacf_24,stl_daily_strength,stl_weekly_strength,dominant_period_hours,spectral_entropy,adf_pvalue,kpss_pvalue,adi,cv2,night_ratio,weekend_ratio,trend_slope,net_growth,year_slot_1_ratio,year_slot_2_ratio,year_slot_3_ratio,quarter_1_ratio,quarter_2_ratio,quarter_3_ratio,quarter_4_ratio,month_01_ratio,month_02_ratio,month_03_ratio,month_04_ratio,month_05_ratio,month_06_ratio,month_07_ratio,month_08_ratio,month_09_ratio,month_10_ratio,month_11_ratio,month_12_ratio,dayofweek_0_ratio,dayofweek_1_ratio,dayofweek_2_ratio,dayofweek_3_ratio,dayofweek_4_ratio,dayofweek_5_ratio,dayofweek_6_ratio,hour_00_ratio,hour_01_ratio,hour_02_ratio,hour_03_ratio,hour_04_ratio,hour_05_ratio,hour_06_ratio,hour_07_ratio,hour_08_ratio,hour_09_ratio,hour_10_ratio,hour_11_ratio,hour_12_ratio,hour_13_ratio,hour_14_ratio,hour_15_ratio,hour_16_ratio,hour_17_ratio,hour_18_ratio,hour_19_ratio,hour_20_ratio,hour_21_ratio,hour_22_ratio,hour_23_ratio,active_hours,coverage_ratio,internal_missing_rate_before_fill,reliability_flag_code
0,0.9999087458023069,1.000091268189794,1.0,86.80428077045549,66.06642820214078,229.7975615504428,0.3582093572081388,0.8839810231657997,0.3784496491989508,18.17057651114374,0.8842793036544823,0.7470555820743828,0.5993708473302939,0.8841504487746406,0.029845070563915596,0.4189541216335106,0.35614231371259636,3099.853211009174,0.5346760333297293,4.7087835370090573e-07,0.02612619797720854,1.000091268189794,0.8702045719947925,0.9277866373552447,0.7667099335452058,0.0012999491880554825,-30.645804533220456,0.8480106383581435,1.0419537837314952,1.0326800052230796,0.8687486413113082,0.7109312459191054,1.55387794750634,0.7671304298523053,0.8728998221020331,0.9366856093458606,0.8032350377796974,0.7215456451199259,0.6707207821283886,0.7418676593020259,1.9973008469651257,1.6791265642395201,0.9015389287958322,0.6559233069446747,0.7646776431278749,0.8807112173319657,0.981321901916368,1.0568521165174185,1.1036316230078433,1.14413874801244,1.0983194388592195,0.8724575982671858,0.7436287937721283,1.0765091037053405,0.9840169589927087,0.9330382423083524,0.8473289694694689,0.7864657002515867,0.7545283464395705,0.7218022225626609,0.7847332269681976,1.0835353494486188,1.1749665827610885,1.1252213699020022,1.1056393446577422,0.9693862292981029,1.0677991520798382,1.0584668494574612,0.9732753448866135,0.9346100149335651,0.9041970887778318,0.9198794061252357,0.9897994453670386,1.1210778385105142,1.228952859954644,1.2603963793619315,1.1943739737798855,18264.0,1.0,0.0,3.0
1,0.9998142853760462,1.0001860889484326,1.3108108108108107,569.7488131249858,549.8747246912106,927.5730833127802,0.613704714053166,0.3296554800998639,0.2733258985472207,69.85096319425861,0.86902554960844,0.8514721775389398,0.8555696093012413,0.8690057593588015,0.19257790811734454,0.8229711124055977,0.85140135608493,884.0540540540541,0.3882187869732797,0.002320127911074194,0.012429128644492244,1.0001860889484326,0.11321955909511625,0.8409606732854826,0.9825775535473956,0.0001642844054412336,-41.8177475820233,1.0024545327975807,1.0099736167859228,0.983473606399623,1.0942660219816907,0.8880439537571679,0.9793033494435424,1.0427059583104865,1.1536679559136054,1.121480030328669,1.010283693413795,0.9191835818927682,0.864858815212012,0.880862302118229,1.018359676523339,0.9708446540378578,0.9520561226732301,0.9258756449672582,1.033785307576729,1.1681691594605768,0.9945472875750064,1.0049398937860499,1.0047978904681754,1.0072552125730037,1.0163174393339285,1.0224776594190919,0.9496599120865888,0.972937591579132,0.8584667939810703,0.7956409866304466,0.7627819697061242,0.7428513107438203,0.7344022638979074,0.6972084948622385,0.7657014299285425,0.9016833170268925,0.9824547839563107,1.0057715303796044,1.0547962097138133,1.077037648236297,0.9840547125678722,0.97715757598619,0.9703765332153574,0.9582356267163811,0.9996871091844962,1.1394854334854252,1.3460607404379819,1.4245924456357677,1.3966210978566997,1.3063575838527506,1.1456368104188783,18264.0,1.0,0.0,3.0
2,0.999933418233535,1.0000666051326046,0.5802469135802469,2580.2904699069327,2722.951770346198,3908.6117842711296,0.6742908394879937,0.3218661524969108,0.29433347080274114,205.9254715909678,0.9189709697481677,0.9443654878269726,0.9267854800638965,0.9189322689009165,0.29742915191102953,0.9399655460463073,0.9272565340960197,305.4074074074074,0.21925472681457503,0.002652116772475484,0.010255365596130814,1.0000666051326046,0.10743274513065469,0.5746456934834692,1.0098624001606251,-0.005508003570556975,-74.15086577949276,1.0397314760793563,0.9956378855704147,0.9815360326199879,0.93030769236737,0.9687599799015247,1.1128615187276603,0.9672014810073315,0.9347393093373637,0.9364594313568463,0.9203196659875265,0.9314418649893326,0.9527998334896748,1.0225702461059616,1.1101352217545906,1.1231869315706446,1.0996743023598732,1.0059513519288381,0.9425689501305689,0.9522895431923692,0.9907038560304273,0.9930035790664928,0.9913611479752552,0.9998085466555274,1.011457644635504,1.0171101340537894,0.9964056185104986,0.6494936638261187,0.6034234876464123,0.581799782819176,0.5722424909344149,0.5721463839836063,0.6165749755892009,0.778833525642848,0.9436156862422868,0.9847225744449456,1.1314269150367278,1.1972991283786218,1.229439049885763,1.2433566078169302,1.2400543610445993,1.2282655350682867,1.2367701465440277,1.2536889388567878,1.274342177303529,1.279981487038957,1.259736600279754,1.213535396065234,1.1480180695931224,0.9878096793572568,0.7734233366013931,18264.0,1.0,0.0,3.0
3,0.9997597954022014,1.0002403548317713,1.6774193548387097,3036.107667104067,3063.3932743027895,6221.555910969231,0.46871313641192414,0.6648823578692552,0.5886544820955828,397.9928757831018,0.9257150738924691,0.9571145692044067,0.9344632812706232,0.925688022117271,0.3528048577398165,0.9463885807889237,0.9295563177654388,24.0,0.2074606874853703,0.0041716801343231824,0.01,1.0002403548317713,0.45570868535951664,0.37770089380902444,1.0355927626626384,-0.01812428868772344,-309.4862513986824,1.0813770939994716,1.0032693774643133,0.9438517771341831,0.8239227358013168,0.9335339935486249,1.2524226371054892,0.9430426834360491,0.8343330412933542,0.8210120591966558,0.8161414285328441,0.8482316196692878,0.9030919556485214,1.0502931399247353,1.2466068457435409,1.2650658974397924,1.2388352346613327,1.0335957707759802,0.9044080378880144,0.8898779627555069,0.9775039490265891,0.9790702116054498,0.9841419056301213,0.9942469638980778,1.0151272788703174,1.0356717098130819,1.0138395789603263,0.5181838576976568,0.35223170818649124,0.3142848804153566,0.2879399488225162,0.2696638811358801,0.27635011549110955,0.3140262996932219,0.3337890389009292,0.40660998199677395,0.7129519895061782,1.204563520834648,1.3943275716933503,1.4788034355285762,1.538411103678458,1.5490223289254064,1.5550621403306342,1.5661193822955577,1.5846209723731317,1.6022613368749214,1.5960710640073816,1.5860550322454412,1.5005159961894379,1.2195197636279291,0.8386146495490121,18264.0,1.0,0.0,3.0
4,0.9999452474813841,1.000054758514949,1.0,106.26668979057301,14.21319796954316,799.9999999999999,0.1328333622382163,2.229648363626245,1.168715602062418,53.10668070112632,0.7765179401630282,0.601491879977425,0.6517702799446956,0.776510645305156,0.17111278741001562,0.4229521982028116,0.49444009796590804,24.0,0.6353195232125758,3.7567350210621284e-29,0.01,1.000054758514949,4.97100487996426,0.08524541579941278,0.13680795563773093,0.003708325575542329,86.10103940053172,0.9247547678566276,0.9059541077238555,1.1886389761264555,0.7068938158089441,0.8672989070976874,1.3805039944939541,0.9733823546000591,0.6487741791382904,0.8199347627526549,0.6629119520143105,0.918604253781804,0.7152929783580935,0.973066353444485,1.7471288936916545,1.2123578970136595,1.2622847164174524,1.0645255023445768,0.9517465876671644,0.9031770458228588,1.2195755232662149,1.389395015412935,1.3612515072112672,1.3395148978827984,1.3323497050900472,0.262385927205505,0.10111430960718777,0.12683301407825961,0.12772434774148406,0.12940030610825112,0.1279314886632193,0.1279001036750776,0.12849641844977,0.12961372402761473,0.11389612196624867,0.33721914358736693,0.9745854827691185,1.764325939378849,1.9851130539581177,0.5252842695300936,2.7882674544996133,3.9299026751517725,3.848351921964365,3.8362749785274373,1.3332405732572699,0.9171446774721694,0.21686399106155543,0.12563410753124646,0.13609158558006268,0.13683854829783526,0.1330660727232023,18264.0,1.0,0.0,3.0
5,0.5332563764291997,1.875360824742268,107.0,60.70705564909779,71.8484650555192,169.82364467668202,0.35747116230295634,1.0177762794791398,1.1017131916186544,13.970704428489615,0.8123093030323445,0.5289391543723894,0.7459225293976262,0.8122071811186462,0.1464747882131045,0.36614295111301587,0.7410286864193025,23.999999999999996,0.5350152617252768,2.1744042109236035e-28,0.1,1.875360824742268,0.08563988856299198,2.6502142087552407,2.4847234283515696,0.00023906087723989556,-62.16758421199965,0.9232111630914573,1.0003484266639489,1.0468771596869966,1.0971289237439783,0.980681344548367,0.9930820251050824,0.9320619548695854,1.0789709303290598,1.0889028673492929,1.122716903579903,0.9752146407146085,1.0284280620607302,0.9368097736193501,0.9143993020333259,1.1034301114061704,0.9088653761609329,0.9333438392097241,0.9127506934546167,0.9494683880278034,0.6409113142572254,0.7007684460680362,0.6927985644399671,0.7128893077107248,0.7564745978642277,1.7616774414998646,1.7207541100896815,2.139235041193274,1.9801160390582033,1.9273129446833177,1.8911172751521461,1.9260354504645705,1.9260354504645705,1.7412246201524715,1.082463434685151,0.6095066861445108,0.6076614167174312,0.521075697446786,0.5354120214571716,0.5452061438009003,0.5816857009362377,0.6164619324465789,0.6095066861445106,0.6011320018216122,0.6032611588528575,0.5984350695820347,0.5835309703633171,0.578137105884162,0.5924734298945478,0.5954542497382912,0.6075194729153482,18192.0,0.9960578186596584,0.0,3.0
6,0.9998904949627683,1.0001095230272166,1.0,201696.0523434078,171400.0,510195.00000000006,0.3953312994902102,0.7364206305945993,0.5370105845798597,25862.946941904396,0.9491475519011502,0.9840158960086717,0.9543833396613548,0.9491403338952387,0.34744606470111217,0.9753285092956715,0.9486757052744276,24.0,0.22019262878230095,0.16074124915675864,0.01,1.0001095230272166,0.5421464538660519,0.4210572734341042,1.0227731398212918,-0.3542077174312142,-10475.0,1.135192308076058,0.9657563095393117,0.966314913096767,0.632817224869611,0.9141846316592414,1.533951669005698,0.8201722158981687,0.6669955845989218,0.6008005156966839,0.6275571831029438,0.7302899363217826,0.8985141018192623,1.1142722078313452,1.480355472353738,1.6342910973923577,1.4338082915467345,0.9940220458023157,0.753019062384174,0.7113093087495005,0.9771460304935502,0.9907781120593097,0.9933297441651329,1.0007045130632755,1.005459108749637,1.0139969881722426,1.0182912293753192,0.6358789337040978,0.4027410239062536,0.35879634072282396,0.3257454774606724,0.2787765067301718,0.2666552508462307,0.2570051545198166,0.25888735329695745,0.3009381106080616,0.7552503385995138,1.2430922862398257,1.4166754461528572,1.4760542896098996,1.5073799668693275,1.527535585965349,1.5524400271058776,1.5624236941397671,1.5608561724167482,1.5626536755064444,1.531321483194136,1.4859441398823114,1.4181686962730395,1.332018197519953,0.9827618487298646,18264.0,1.0,0.0,3.0
7,0.9998266170243831,1.0001734389585293,1.3333333333333333,2548.7293206333316,2533.9787660822326,3377.7010078373055,0.7431678831428239,0.2134295013831572,0.12222217276269781,117.88458814857134,0.9210594407157721,0.7726077440806743,0.7908464382905063,0.9210185257811967,0.032314648631035246,0.566012325448058,0.6414427088472822,7117.975535168196,0.41659900085030577,0.007493746564294406,0.01,1.0001734389585293,0.057168290635545835,0.9222964625227758,0.968544286476192,0.00714541561705045,-7.570287871591518,1.0296619176488742,0.9755486365994748,1.0180513343247486,0.9177638639757438,0.9842211647477404,1.125314197619633,0.949628804413349,0.9050527215693109,0.9191013888305216,0.9292669194165709,0.9420930986091874,0.9693619901472977,1.0417037113067509,1.1256142481679796,1.1383036265205542,1.1048705305899138,1.019882154462773,0.9287975670696196,0.8995347163094696,0.9888575091949746,1.0066218706296308,1.0095209593684413,1.0180158302066873,1.026128690411265,1.0008209186245993,0.9499927479848103,0.9759398401412448,0.9571526679554663,0.9393943759185786,0.9151384419158793,0.9041587902295998,0.8980593167509162,0.8980717132242879,0.9114228900644945,0.9475696595837516,0.9881415996996039,1.0087993758786278,1.0264159009481117,1.052492211446988,1.0563152683689607,1.0562674069549145,1.059749330998293,1.0607746887383966,1.0566042703671712,1.070511565654072,1.0775803044699421,1.0584192294741963,1.0443136722842983,1.0307912653339555,1.0059162135982485,18264.0,1.0,0.0,3.0
8,0.5432271134472186,1.8409994541569135,22.0,139.76821226073582,88.05421329264159,501.7961597151572,0.2665956811031943,1.2049692630046756,1.2395938785566196,61.605716758160725,0.7483517168230891,0.4162703873541018,0.6968374675082942,0.7482464674085436,0.18937183513901898,0.2185388195874997,0.6734582887799488,167.55963302752295,0.5930911871327585,1.8607576352810306e-27,0.055,1.8409994541569135,0.3319390416632416,2.033650209024059,2.829092516200464,-0.0026447673545028525,34.95923128703836,1.2023773776151443,1.0676799372201384,0.7709180417264709,1.1128571054663494,0.9336284495864975,0.9266984227574043,1.0408977298830033,1.1507967797844765,0.9701979666061624,1.2037708468929074,0.9431511424865949,0.8519408022833559,1.0085163255663132,0.7166445222490024,0.9385506329883865,1.1253831940913976,0.924306152079843,1.0121695085770401,1.185290812175805,0.8528486739134549,0.5989018754065054,0.621345341381202,0.5889636032503206,0.6258879239170272,1.635505130474895,2.071517640182466,2.475265513718515,1.4751033408706662,1.3173429882475678,1.3047671199706588,1.4688909617666779,1.6968190985243918,1.8761951252251396,1.4078201700929593,0.9829926749990829,0.7259523471389191,0.5963923685007415,0.5815524116522017,0.5773233053286508,0.643522852189949,0.7191230904418524,0.6177751635831974,0.6401517830534,0.6595401159011034,0.6783047534592428,0.6477303009925792,0.6654955178468543,0.667491197224749,0.8122537174289202,0.7621940818419812,18264.0,1.0,0.0,3.0
9,0.9983026719229084,1.0017003071522597,1.0,19.370510015541935,8.88324873096447,65.9898477157361,0.2935377286970583,1.1994063537355557,0.5128574839276638,4.079008041278432,0.9112201221076036,0.7630900621338248,0.5951101767352139,0.9111132790916434,0.1270984741329787,0.15284905782791636,0.16197796656937913,9132.0,0.5342909405862996,1.510913235641468e-09,0.01,1.0017003071522597,1.4344365385448865,0.9618350983586768,0.8345973015096266,0.0009980948166354168,58.904399323181075,0.4296398656025659,1.3059082218659093,0.899623866591566,0.5098853381128714,0.7635776256844404,1.3775671042277664,1.2721336079138323,0.4970330509171783,0.5492141937322023,0.4872147879749752,0.5277954738665832,1.0392389169854797,0.7145097764912243,0.696304163367453,1.6488517811009247,1.6610475606300295,1.3977155845882496,1.890027357196748,0.5485899383849802,0.9642305516064847,1.0789302355612471,1.105445038917629,1.0448648176008994,1.0547069122588055,0.878976687794362,0.8732417267850475,0.9634229018476865,0.972203988076662,0.963508990928363,0.963939436331744,0.9764223530297973,0.9678134449621741,0.9435363242114777,0.9443972150182401,1.0871329107794294,1.501737923316152,1.0826562785842655,1.0500285170079742,0.9406092954684864,0.9089285137796341,1.0183477353191215,0.9889913588085273,0.890591539595597,0.9364770195960272,0.9802102725795516,0.9187426689767236,0.9405232063878095,1.0284201577582401,1.0057787295403917,1.0255792180959242,18264.0,1.0,0.0,3.0
